Remove Pin from Net: Failed to remove Pin
Remove Pin from Net: Failed to remove Pin
Remove Pin from Net: Unknown Pin: Pin T?-1
Remove Pin from Net: Unknown Pin: Pin T?-2
Change Component Kind : Designator=J? Old Kind=Standard New Kind=Standard
Change component parameters: Designator = "J?" ("J?"); Footprint = "TP_1x2mm_UN1Q"; UniqueID = "\SCPGRQXY" ("\SCPGRQXY")
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "20190101"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "TBD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "YAGEO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RC0201FR-07100KL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/20W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rule"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "322"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "RLC_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "RLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature characteristics"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R?(RES_0201_UN1Q)
Add component (AddParameter): Name = "Alternative component"; Value = "Allowed"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "20190101"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "TBD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "YAGEO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RC0201FR-07100KL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/20W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rule"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "322"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "RLC_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "RLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature characteristics"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R?(RES_0201_UN1Q)
Add component (AddParameter): Name = "Alternative component"; Value = "Allowed"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "20190101"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "TBD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "YAGEO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "RC0201FR-0710KL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "1/20W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "322"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "RLC_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "RLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature characteristics"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R?(RES_0201_UN1Q)
Add component (AddParameter): Name = "Alternative component"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "20190101"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "TBD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "999"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "RLC_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "RLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature characteristics"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "NA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=R?(RES_0201_UN1Q)
Add component (AddParameter): Name = "Alternative component"; Value = "Allowed"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "20190101"; VariantName = "[No Variations]"
